Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
38,1667420637056,02/11/2022 20:23:57,1667420636547,-4,02/11/2022 16:23:56,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,19,18,2,Gender,buttonB,response_button_text,1188.8999999761581,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Mariella
39,1667420638502,02/11/2022 20:23:58,1667420637959,-4,02/11/2022 16:23:57,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,20,19,1,Race,buttonA,response_button_text,1364.199999988079,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Becky
40,1667420639622,02/11/2022 20:23:59,1667420639096,-4,02/11/2022 16:23:59,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,20,19,2,Gender,buttonB,response_button_text,1109.800000011921,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Becky
41,1667420642367,02/11/2022 20:24:02,1667420641853,-4,02/11/2022 16:24:01,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,21,20,1,Race,buttonD,response_button_text,2693.400000035763,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Magda
42,1667420643525,02/11/2022 20:24:03,1667420642996,-4,02/11/2022 16:24:02,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,21,20,2,Gender,buttonB,response_button_text,1119.3999999761581,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Magda
43,1667420645171,02/11/2022 20:24:05,1667420644651,-4,02/11/2022 16:24:04,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,22,21,1,Race,buttonD,response_button_text,1607.5999999642372,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Pablo
44,1667420645769,02/11/2022 20:24:05,1667420645255,-4,02/11/2022 16:24:05,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,22,21,2,Gender,buttonA,response_button_text,578.7000000476837,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Pablo
45,1667420647878,02/11/2022 20:24:07,1667420647363,-4,02/11/2022 16:24:07,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,23,22,1,Race,buttonC,response_button_text,2058.5,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Ruoxi
46,1667420649198,02/11/2022 20:24:09,1667420648681,-4,02/11/2022 16:24:08,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,23,22,2,Gender,buttonA,response_button_text,1305.5,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Ruoxi
47,1667420653516,02/11/2022 20:24:13,1667420653007,-4,02/11/2022 16:24:13,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,24,23,1,Race,buttonB,response_button_text,4271.800000011921,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Liyah
